Academic Year,District ID,District,School ID,School,Subject,Student Group,Grade Level,Number Proficient,Percent Proficient (Level 3 or 4),Number Level 4,Percent Level 4,Number Level 3,Percent Level 3,Number Level 2,Percent Level 2,Number Level 1,Percent Level 1,Number of Participants,Participation Rate
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Econo. Disadvantaged,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Econo. Disadvantaged,Grade 5,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Econo. Disadvantaged,Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Econo. Disadvantaged,Grade 7,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Econo. Disadvantaged,Grade 8,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Homeless,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Homeless,Grade 5,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Homeless,Grade 6,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Homeless,Grade 7,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Homeless,Grade 8,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Military-connected,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Military-connected,Grade 5,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Military-connected,Grade 6,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Military-connected,Grade 7,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Military-connected,Grade 8,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Total Population (All Students),Grade 4,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Total Population (All Students),Grade 5,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Total Population (All Students),Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Total Population (All Students),Grade 7,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Total Population (All Students),Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Econo. Disadvantaged,Grade 3,4,40,0,0,4,40,6,60,0,0,10,100
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Econo. Disadvantaged,Grade 4,2,16.7,0,0,2,16.7,1,8.3,9,75,12,100
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Econo. Disadvantaged,Grade 5,11,64.7,7,41.2,4,23.5,3,17.6,3,17.6,17,100
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Econo. Disadvantaged,Grade 6,16,80,6,30,10,50,3,15,1,5,20,100
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Econo. Disadvantaged,Grade 7,9,50,0,0,9,50,4,22.2,5,27.8,18,100
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Econo. Disadvantaged,Grade 8,13,72.2,6,33.3,7,38.9,3,16.7,2,11.1,18,100
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Homeless,Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Homeless,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Homeless,Grade 5,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Homeless,Grade 6,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Homeless,Grade 7,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Homeless,Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Military-connected,Grade 3,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Military-connected,Grade 4,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Military-connected,Grade 5,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Military-connected,Grade 6,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Military-connected,Grade 7,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Military-connected,Grade 8,--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Total Population (All Students),Grade 3,10,50,2,10,8,40,8,40,2,10,20,100
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Total Population (All Students),Grade 4,5,29.4,1,5.9,4,23.5,3,17.6,9,52.9,17,100
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Total Population (All Students),Grade 5,23,76.7,13,43.3,10,33.3,3,10,4,13.3,30,100
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Total Population (All Students),Grade 6,23,79.3,7,24.1,16,55.2,5,17.2,1,3.4,29,100
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Total Population (All Students),Grade 7,19,65.5,4,13.8,15,51.7,5,17.2,5,17.2,29,100
2018-2019,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Total Population (All Students),Grade 8,16,66.7,7,29.2,9,37.5,3,12.5,5,20.8,24,100
2018-2019,2113,Adrian SD 61,708,Adrian High School,English Language Arts,Econo. Disadvantaged,Grade HS (11),8,72.7,3,27.3,5,45.5,1,9.1,2,18.2,11,100
2018-2019,2113,Adrian SD 61,708,Adrian High School,English Language Arts,Homeless,Grade HS (11),--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2113,Adrian SD 61,708,Adrian High School,English Language Arts,Military-connected,Grade HS (11),--,--,--,--,--,--,--,--,--,--,--,--
2018-2019,2113,Adrian SD 61,708,Adrian High School,English Language Arts,Total Population (All Students),Grade HS (11),12,63.2,4,21.1,8,42.1,4,21.1,3,15.8,20,100
2018-2019,1899,Alsea SD 7J,17,Alsea Charter School,English Language Arts,Econo. Disadvantaged,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1899,Alsea SD 7J,17,Alsea Charter School,English Language Arts,Econo. Disadvantaged,Grade 4,3,20,2,13.3,1,6.7,2,13.3,10,66.7,15,71.4
2018-2019,1899,Alsea SD 7J,17,Alsea Charter School,English Language Arts,Econo. Disadvantaged,Grade 5,6,46.2,0,0,6,46.2,3,23.1,4,30.8,13,72.2
2018-2019,1899,Alsea SD 7J,17,Alsea Charter School,English Language Arts,Econo. Disadvantaged,Grade 6,1,9.1,0,0,1,9.1,3,27.3,7,63.6,11,73.3
2018-2019,1899,Alsea SD 7J,17,Alsea Charter School,English Language Arts,Econo. Disadvantaged,Grade 7,4,33.3,1,8.3,3,25,3,25,5,41.7,12,57.1
2018-2019,1899,Alsea SD 7J,17,Alsea Charter School,English Language Arts,Econo. Disadvantaged,Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1899,Alsea SD 7J,17,Alsea Charter School,English Language Arts,Econo. Disadvantaged,Grade HS (11),*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1899,Alsea SD 7J,17,Alsea Charter School,English Language Arts,Homeless,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1899,Alsea SD 7J,17,Alsea Charter School,English Language Arts,Homeless,Grade 4,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1899,Alsea SD 7J,17,Alsea Charter School,English Language Arts,Homeless,Grade 5,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1899,Alsea SD 7J,17,Alsea Charter School,English Language Arts,Homeless,Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1899,Alsea SD 7J,17,Alsea Charter School,English Language Arts,Homeless,Grade 7,*,*,*,*,*,*,*,*,*,*,*,*
2018-2019,1899,Alsea SD 7J,17,Alsea Charter School,English Language Arts,Homeless,Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
