Academic Year,District ID,District,School ID,School,Subject,Student Group,Grade Level,Number Proficient,Percent Proficient (Level 3 or 4),Number Level 4,Percent Level 4,Number Level 3,Percent Level 3,Number Level 2,Percent Level 2,Number Level 1,Percent Level 1,Number of Participants,Participation Rate
2021-2022,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Econo. Disadvantaged,Grade 4,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,2063,Adel SD 21,498,Adel Elementary School,English Language Arts,Total Population (All Students),Grade 4,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Econo. Disadvantaged,Grade 3,13,65,6,30,7,35,3,15,4,20,20,87
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Econo. Disadvantaged,Grade 4,8,61.5,3,23.1,5,38.5,--,--,5,38.5,13,100
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Econo. Disadvantaged,Grade 5,15,88.2,5,29.4,10,58.8,1,5.9,1,5.9,17,94.4
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Econo. Disadvantaged,Grade 6,9,37.5,3,12.5,6,25,9,37.5,6,25,24,100
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Econo. Disadvantaged,Grade 7,8,38.1,2,9.5,6,28.6,6,28.6,7,33.3,21,100
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Econo. Disadvantaged,Grade 8,10,47.6,2,9.5,8,38.1,9,42.9,2,9.5,21,95.5
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Homeless,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Homeless,Grade 4,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Homeless,Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Homeless,Grade 7,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Homeless,Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Students in Foster Care,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Total Population (All Students),Grade 3,13,65,6,30,7,35,3,15,4,20,20,87
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Total Population (All Students),Grade 4,8,61.5,3,23.1,5,38.5,--,--,5,38.5,13,100
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Total Population (All Students),Grade 5,15,88.2,5,29.4,10,58.8,1,5.9,1,5.9,17,94.4
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Total Population (All Students),Grade 6,9,37.5,3,12.5,6,25,9,37.5,6,25,24,100
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Total Population (All Students),Grade 7,8,38.1,2,9.5,6,28.6,6,28.6,7,33.3,21,100
2021-2022,2113,Adrian SD 61,707,Adrian Elementary School,English Language Arts,Total Population (All Students),Grade 8,10,47.6,2,9.5,8,38.1,9,42.9,2,9.5,21,95.5
